;;OKSMList
887;Эмен;Strana_887YemJemenMember
894;Замбия;Strana_894ZmbZambiyaMember
895;Абксазия;Strana_895AbhAbxaziyaMember
896;Ы Ужная Осетия;Strana_896OstYUzhnayaOsetiyaMember
897;Донецзкая Народн Респ;Strana_897DnrDoneczkayaNarodnRespMember
898;Луганская Наронд Респ;Strana_898LnrLuganskayaNarondRespMember
996;хдународная Комп;Strana_996MezhdunarodnayaKompMember
998;хдународная_организацзия;Strana_998Mezhdunarodnaya_organizacziyaMember
999;жданства;Liczo_bez_grazhdanstvaMember
Иные страны, включенные в ОКСМ;"";Strana_InoMember
